URL: https://ptit.edu.vn/gioi-thieu/co-cau-to-chuc/so-do-to-chuc

Các Đơn vị / Phòng ban 2 là ở Hồ Chí Minh, còn lại ở Hà Nội

| Đơn vị / Phòng ban                   | Điện thoại       | Email                                               | Địa chỉ                                            |
| Trung tâm Thí nghiệm Thực hành       | 024 3756 2186    | [tttnth@ptit.edu.vn](mailto:tttnth@ptit.edu.vn)     | Tầng 5,6, nhà A3, Km10, Nguyễn Trãi, Hà Đông       |
| Trung tâm Đào tạo quốc tế            | (024) 33 525 741 | [cie@ptit.edu.vn](mailto:cie@ptit.edu.vn)           | Tầng 5, nhà A1, Km10, Nguyễn Trãi, Hà Đông         |
| Viện Kinh tế Bưu điện (ERIPT)        | 024 3756 2186    | [ctsv@ptit.edu.vn](mailto:ctsv@ptit.edu.vn)         | Km10, Nguyễn Trãi, Hà Đông                         |
| Viện CNTT & Truyền thông (CDIT)      | 024 3756 2186    | [ctsv@ptit.edu.vn](mailto:ctsv@ptit.edu.vn)         | Km10, Nguyễn Trãi, Hà Đông                         |
| Viện KH Kỹ thuật Bưu điện (RIPT)     | 024 3756 2186    | [ctsv@ptit.edu.vn](mailto:ctsv@ptit.edu.vn)         | Km10, Nguyễn Trãi, Hà Đông                         |
| Khoa Trí tuệ Nhân tạo                | 024 3756 2186    | [ctsv@ptit.edu.vn](mailto:ctsv@ptit.edu.vn)         | Km10, Nguyễn Trãi, Hà Đông                         |
| Khoa Cơ bản 1                        | 024 3756 2186    | [ctsv@ptit.edu.vn](mailto:ctsv@ptit.edu.vn)         | Km10, Nguyễn Trãi, Hà Đông                         |
| Khoa CNTT 1                          | 024 3756 2186    | [ctsv@ptit.edu.vn](mailto:ctsv@ptit.edu.vn)         | Km10, Nguyễn Trãi, Hà Đông                         |
| Khoa Viễn thông 1                    | 024 3756 2186    | [ctsv@ptit.edu.vn](mailto:ctsv@ptit.edu.vn)         | Km10, Nguyễn Trãi, Hà Đông                         |
| Khoa Kỹ thuật Điện tử 1              | 024 3756 2186    | [ctsv@ptit.edu.vn](mailto:ctsv@ptit.edu.vn)         | Km10, Nguyễn Trãi, Hà Đông                         |
| Khoa Quản trị Kinh doanh 1           | 024 3756 2186    | [ctsv@ptit.edu.vn](mailto:ctsv@ptit.edu.vn)         | Km10, Nguyễn Trãi, Hà Đông                         |
| Khoa Đa phương tiện                  | 024 3756 2186    | [ctsv@ptit.edu.vn](mailto:ctsv@ptit.edu.vn)         | Km10, Nguyễn Trãi, Hà Đông                         |
| Khoa An toàn thông tin               | 024 3756 2186    | [ctsv@ptit.edu.vn](mailto:ctsv@ptit.edu.vn)         | Km10, Nguyễn Trãi, Hà Đông                         |
| Khoa Tài chính Kế toán 1             | 024 3756 2186    | [ctsv@ptit.edu.vn](mailto:ctsv@ptit.edu.vn)         | Km10, Nguyễn Trãi, Hà Đông                         |
| Khoa Đào tạo sau đại học             | 024 3756 2186    | [ctsv@ptit.edu.vn](mailto:ctsv@ptit.edu.vn)         | Km10, Nguyễn Trãi, Hà Đông                         |
| Khoa CNTT 2                          | 024 3756 2186    | [ctsv@ptit.edu.vn](mailto:ctsv@ptit.edu.vn)         | Km10, Nguyễn Trãi, Hà Đông                         |
| Khoa Kỹ thuật Điện tử 2              | 024 3756 2186    | [ctsv@ptit.edu.vn](mailto:ctsv@ptit.edu.vn)         | Km10, Nguyễn Trãi, Hà Đông                         |
| Khoa Viễn thông 2                    | 024 3756 2186    | [ctsv@ptit.edu.vn](mailto:ctsv@ptit.edu.vn)         | Km10, Nguyễn Trãi, Hà Đông                         |
| Khoa Cơ bản 2                        | 024 3756 2186    | [ctsv@ptit.edu.vn](mailto:ctsv@ptit.edu.vn)         | Km10, Nguyễn Trãi, Hà Đông                         |
| Khoa Quản trị Kinh doanh 2           | 024 3756 2186    | [ctsv@ptit.edu.vn](mailto:ctsv@ptit.edu.vn)         | Km10, Nguyễn Trãi, Hà Đông                         |
